record_type,source_file,source_sr_no,state,constituency,mp_name,ida,work_id,work_category,work_type,work_description,recommended_date,sanction_date,completion_date,expenditure_date,consent_date,recommended_amount,sanction_amount,amount_disbursed,fund_disbursed_amount,consent_amount,allocated_amount,work_status,payment_status,vendor_name,calamity_type,calamity_name,image_marker
Works Recommended,Works Recommended (1).xlsx,79622,Madhya Pradesh,SIDHI,DR. RAJESH MISHRA,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),WS/MP18109/2026-2027/272921,Normal/Others,Construction of public staircase/ stair ghat for public convenience,GRAM PANCHAYAT KAPURI BEDAULIHAN KE RAMSAGAR TALAB KE POORV ME SIDI NIRMAN KARYA,2026-03-07,2026-09-01,,,,550000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,24173,Andhra Pradesh,NANDYAL,DR BYREDDY SHABARI,Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),WS/MP18351/2024-2025/160019,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2025-10-21,,,,,481825.0,,,,Payment Success,Bodanapu Malleswari,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,61712,Madhya Pradesh,RATLAM(ST),ANITA NAGARSINGH CHOUHAN,RATLAM(District Collector Ratlam_IDA),WS/MP18107/2024-2025/163607,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2025-05-28,,,,,100000.0,,,,Payment Success,Gp Ambapada Kala,,,
Works Sanctioned,Works Sanctioned.xlsx,76379,Chandigarh,CHANDIGARH,MANISH TEWARI,CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA),WS/MP18047/2026-2027/286683,Normal/Others,Providing CCTV camera system for security of public areas,"Installation of cctv cameras on Old Ropar Road (from Fun Republic to Police Station Chowk) and Main Bazaar in ward no. 5, Manimajra, Chandigarh.",2026-06-18,2026-07-07,,,,,1000000.0,,,,,Time Estimation,,,,,
Works Recommended,Works Recommended (1).xlsx,51582,Maharashtra,SANGLI,VISHAL,SANGLI(DISTRICT COLLECTOR SANGLI_IDA),WS/MP18132/2025-2026/226547,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Improvement of road from vakharbhag zopadpatti to mandale petrol pump at Miraj,2025-08-14,2025-10-07,,,,1200000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,52973,Madhya Pradesh,KHANDWA,Gyaneshwar Patil,Khandwa (East Nimar)(DISTRICT COLLECTOR EAST NIMAR_IDA),WS/MP643/2025-2026/228760,Normal/Others,Construction of common work sheds/ common covered sitting area,ward 11 mai chat chabutara,2025-08-25,2026-01-20,,,,250000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,58502,Telangana,KARIMNAGAR,Sanjay Kumar Bandi,KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA),WS/MP770/2026-2027/245428,Normal/Others,Installing tube-wells and borewells,Drilling of Bore well and Pump in Sy.No. 527byAbyBby1 of Arnakonda (V )  of Choppadandi  (M),2025-11-01,2026-08-12,,,,,200000.0,,,,,Work partially Completed,,,,,
Works Sanctioned,Works Sanctioned.xlsx,44485,Punjab,FATEHGARH SAHIB(SC),Shri Amar Singh,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),WS/MP380/2025-2026/219268,Normal/Others,Fitting of Sitting RCC Benches in Public Places,FOR FIXED CEMENTED BENCHES OF COMMON PLACES,2025-07-17,2025-10-29,,,,,22220.0,,,,,Work Completed,,,,,
Works Recommended,Works Recommended (1).xlsx,64881,Chhattisgarh,RAJNANDGAON,Santosh Pandey,Mohla-Manpur-Ambagarh Chouki(Collector MMC_IDA),WS/MP428/2025-2026/249279,Normal/Others,Construction of bus-sheds or bus-stops,Yatri Pratikshalay Nirman,2025-11-19,2026-01-12,,,,700000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,1906,Jharkhand,GIRIDIH,Shri Chandra Prakash Choudhary,BOKARO(DEPUTY COMMISSIONER BOKARO_IDA),WS/MP334/2024-2025/139295,Normal/Others,Street lights,installation of solar street light near masjid of surgi mohalla in lodhi,2024-09-06,2024-10-14,,,,,22000.0,,,,,Sanction,,,,,
Works Sanctioned,Works Sanctioned.xlsx,48569,Telangana,NAGARKURNOOL(SC),DR.MALLU RAVI,NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA),WS/MP18192/2025-2026/226285,Normal/Others,Providing supply pipelines for drinking water,Laying of Pipeline at Gattuthumen Stage near KLI Canal to Pump house,2025-08-11,2025-08-25,,,,,300000.0,,,,,Sanction,,,,,
Works Sanctioned,Works Sanctioned.xlsx,753,Jharkhand,GIRIDIH,Shri Chandra Prakash Choudhary,GIRIDIH(Deputy Commissioner Giridh_IDA),WS/MP334/2024-2025/136641,Normal/Others,Lighting of public spaces,construction of mask light near sitaram mandir of laxmantunda village of laxmantunda panchayat.,2024-08-21,2025-02-10,,,,,149710.0,,,,,Physical Inspection,,,,,
Works Sanctioned,Works Sanctioned.xlsx,417,West Bengal,DARJEELING,Raju Bista,KALIMPONG(District Magistrate Kalimpong_IDA),WS/MP826/2024-2025/135549,Normal/Others,Construction of boundary walls of existing public and community buildings,"Construction of Protection Wall at Lungrep Village, under Pabringtar GP, Sansad-IV  Ref: Bonifost Lepcha (9679480057), Member, Pabringtar GP",2024-08-16,2025-01-15,,,,,499387.0,,,,,Work Completed,,,,,
Works Recommended,Works Recommended (1).xlsx,57748,Gujarat,KHEDA,Devusinh Jesingbhai Chauhan,Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA),,Trust and Society,"Construction of roads, link roads, pathways or any other road with or without drainage system",Constrcution of paver block at shri Kachh kadva patidar santpanth sanatan samaj trust Compound,2025-09-22,,,,,450000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,70583,Punjab,FIROZPUR,SHER SINGH GHUBAYA,FAZILKA(DEPUTY COMMISSIONER FAZILKA_IDA),WS/MP18153/2025-2026/212674,,Construction of public irrigation facilities,,,,,2025-07-25,,,,,92000.0,,,,Payment Success,RK BUILDING MATERIAL,,,
Works Recommended,Works Recommended (1).xlsx,47117,Telangana,KARIMNAGAR,Sanjay Kumar Bandi,KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA),WS/MP770/2025-2026/219531,Normal/Others,Installing tube-wells and borewells,Drilling of Bore well and Pump set near H.No.6-36by4 in Mangapeta (V) of  Gangadhara,2025-07-17,2025-09-01,,,,200000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,50293,Assam,JORHAT,GAURAV GOGOI,JORHAT(DEPUTY COMMISSIONER JORHAT_IDA),WS/MP18024/2025-2026/184245,,Construction of community centers and community halls,,,,,2026-01-09,,,,,112000.0,,,,Payment Success,RAJKUMAR DUARAH,,,
Works Sanctioned,Works Sanctioned.xlsx,61203,Gujarat,MAHESANA,HARIBHAI PATEL,GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA),WS/MP18054/2025-2026/251485,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of RCC Paver block work in Nayi Vas near bus stand,2025-12-02,2026-01-19,,,,,200000.0,,,,,Sanction,,,,,
Works Completed,Works Completed.xlsx,919,Uttar Pradesh,MACHHLISHAHR(SC),PRIYA SAROJ,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),WS/MP18228/2024-2025/148209,Normal/Others,Street lights,MOHD. SIWARA KHAN S\O MAHTAB ALAM K GHAR 01  NAG SOLAR LIGHT,,,2026-01-28,,,,,20879.0,,,,,,,,,Images
Works Recommended,Works Recommended (1).xlsx,28398,Delhi,NORTH EAST DELHI,Manoj Tiwari,CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT)),WS/MP880/2025-2026/186044,Normal/Others,Street lights,Provision of Semi High Mast Pole with LED Light,2025-03-24,2025-06-03,,,,1391353.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,79134,Uttar Pradesh,MACHHLISHAHR(SC),PRIYA SAROJ,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),WS/MP18228/2026-2027/304860,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Vikas Khand Jalalpur gram atahanu lahangpur sanjay rajbhar ke darwaje se ramu yadav ke ghar Tak cc road,2026-08-17,2026-09-02,,,,,999000.0,,,,,Sanction,,,,,
Works Sanctioned,Works Sanctioned.xlsx,58004,Kerala,ATTINGAL,Adv Adoor Prakash,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),WS/MP346/2025-2026/244139,Normal/Others,Lighting of public spaces,INSTALLATION OF MML NEAR PERUMALA MUSLIM JAMA ATH PALLI IN PULLAMPARA GP,2025-10-27,2025-12-19,,,,,255470.0,,,,,Sanction,,,,,
Works Recommended,Works Recommended (1).xlsx,17,West Bengal,BALURGHAT,Dr Sukanta Majumdar,Dakshin Dinajpur(DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA),WS/MP498/2024-2025/133447,Normal/Others,Construction of culverts and bridges,Phage 2: Concrete R.C.C. bridge,2024-07-13,2024-08-07,,,,1602957.0,,,,,,,,,,,
Works Completed,Works Completed.xlsx,12822,Gujarat,AHMEDABAD EAST,Hasmukh Bhai Soma Bhai Patel,GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA),WS/MP585/2025-2026/154543,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of Pevar Block in Government Primary School at Tarapur,,,2025-08-11,,,,,200000.0,,,,,,,,,Images
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,32485,Karnataka,DHARWAD,Pralhad Venkatesh Joshi,HAVERI(DEPUTY COMMISSIONER HAVERI_IDA),WS/ MP620/2025-2026/206475,,Installing tube-wells and borewells,,,,,2025-08-07,,,,,112500.0,,,,Payment Success,BASAVARAJ GUMATIMATH,,,
Works Sanctioned,Works Sanctioned.xlsx,15382,West Bengal,JHARGRAM(ST),KALIPADA SAREN,Jhargram(DISTRICT MAGISTRATE JHARGRAM_IDA),WS/MP18272/2024-2025/163366,Normal/Others,Lighting of public spaces,Installation of 9 mtr High Mast pole with 4 nos. 50 watt Solar Light at 2 (two) nos. different place of Salboni Gram Panchayat in Jhargram Panchayat Samity of Jhargram district.,2025-01-03,2025-02-21,,,,,574448.0,,,,,Physical Inspection,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,42240,Uttar Pradesh,KHERI,UTKARSH VERMA MADHUR,KHERI(DISTRICT MAGISTRAE KHERI_IDA),WS/MP18226/2025-2026/222578,,Lighting of public spaces,,,,,2025-12-20,,,,,107562.0,,,,Payment Success,Shiv kumar thekedar,,,
Works Completed,Works Completed.xlsx,3236,West Bengal,BOLPUR(SC),Asit Kumar Mal,BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA),WS/MP858/2024-2025/148955,Normal/Others,Street lights,INSTALLATION OF 53 NO STREET LIGHT FROM LAGHATA MORE TO BAKUL VILLAGE MORE. EXECUTING AGENCY WILL BE E.O.LABPUR PANCHAYT SAMITY.,,,2026-07-22,,,,,2298150.0,,,,,,,,,Images
Works Sanctioned,Works Sanctioned.xlsx,6787,Uttar Pradesh,MOHANLALGANJ(SC),R.K. CHAUDHARY,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),WS/MP18230/2024-2025/148658,Normal/Others,Lighting of public spaces,Sri Paras yadav ke ghar ke pass solar light 4-way,2024-10-19,2024-12-17,,,,,107985.0,,,,,Work Completed,,,,,
Works Recommended,Works Recommended (1).xlsx,63707,Uttar Pradesh,JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),WS/MP18222/2025-2026/246754,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Block khuthan gram rasoolpur me patela marg par se vishkarma basti se hote hue rampartap maurya ke makan tak 135 meter cc road kary,2025-12-09,2026-01-17,,,,724800.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,40087,Uttar Pradesh,KUSHI NAGAR,Vijay Kumar Dubey,Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA),WS/MP812/2025-2026/206881,Trust and Society,Construction of rooms and halls in school and colleges,GP NEBUA RAIGANJ BLOCK NN ME MM CENTRAL ACADEMY ME ROOM NIRMAN  YA TAYLIKARAN KARY,2025-06-07,2025-11-20,,,,200000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,77707,Andhra Pradesh,TIRUPATI(SC),Maddila Gurumoorthy,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),WS/MP529/2026-2027/292077,Normal/Others,Providing drains and gutters for public drainage,Construction of UGD system from B Mohammad House to Nellore Basha house at Gousiya Nagar H/o Muslim Palem GP in Varadhaiahpalem Mandal.,2026-07-07,2026-07-27,,,,,500000.0,,,,,Sanction,,,,,
Works Sanctioned,Works Sanctioned.xlsx,38950,Punjab,GURDASPUR,SUKHJINDER SINGH RANDHAWA,GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA),WS/MP18154/2025-2026/208281,Normal/Others,Installation of fixed garden gym equipment,"Open, Gym The working agency will be concerned M.C",2025-06-12,2025-08-14,,,,,400000.0,,,,,Time Estimation,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,51562,Madhya Pradesh,SIDHI,DR. RAJESH MISHRA,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),WS/MP18109/2024-2025/150188,,Construction of common work sheds/ common covered sitting area,,,,,2025-05-09,,,,,259942.0,,,,Payment Success,MP STATE AGRO IND DEV CORP LTD,,,
Works Recommended,Works Recommended (1).xlsx,46802,Madhya Pradesh,UJJAIN(SC),Shri Anil Firojiya,RATLAM(District Collector Ratlam_IDA),WS/MP360/2025-2026/219114,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",gram rewas me hanuman mandir se kachru chandrawanshi ke ghar ki aur cement concrit road nirman,2025-07-17,2025-09-30,,,,500000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,10361,West Bengal,MURSHIDABAD,Abu Taher Khan,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),WS/MP852/2024-2025/154557,Normal/Others,Lighting of public spaces,Installation of solar high mast light in front of ramnapara katra masjid  dag-9697 under mahisthali GP,2024-11-24,2025-03-17,,,,,140538.0,,,,,Physical Inspection,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,54019,Chhattisgarh,KORBA,Jyotsna Charandas Mahant,KORBA(Collector-Korba),WS/MP429/2024-2025/156840,,Construction of common work sheds/ common covered sitting area,,,,,2024-12-24,,,,,200000.0,,,,Payment Success,GRAM PANCHAYAT RANGOLE,,,
Works Sanctioned,Works Sanctioned.xlsx,36350,Punjab,GURDASPUR,SUKHJINDER SINGH RANDHAWA,PATHANKOT(DEPUTY COMMISSIONER PATHANKOT_IDA),WS/MP18154/2025-2026/203538,Normal/Others,Installing tube-wells and borewells,Deep boring in Village. The working agency will be Gram Panchayat,2025-05-25,2025-07-16,,,,,400000.0,,,,,Physical Inspection,,,,,
Works Recommended,Works Recommended (1).xlsx,36772,Tamil Nadu,VILUPPURAM(SC),D Ravikumar,Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA),WS/MP457/2025-2026/201115,Normal/Others,"Purchase of smart boards, visual display units and projectors","Smart Class Room Equipment for Government High Sec School Rampakkam, Kandamangalam",2025-05-20,2025-06-04,,,,200000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,53425,Odisha,KEONJHAR(ST),ANANTA NAYAK,Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA),WS/MP18146/2025-2026/157689,,Construction of community centers and community halls,,,,,2026-06-20,,,,,34.0,,,,Payment Success,CHIEF EXECUTIVE OFFICER DMF,,,
Works Sanctioned,Works Sanctioned.xlsx,59064,Uttar Pradesh,SANT KABIR NAGAR,LAXMIKANT PAPPU NISHAD,Sant Kabir Nagar(DISTRICT MAGISTRATE SANT KABIR NAGAR_2),WS/MP18240/2025-2026/246517,Normal/Others,Lighting of public spaces,Lighting of public spaces,2025-11-07,2026-01-09,,,,,739865.0,,,,,Vendor Identification,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,81118,Karnataka,CHAMARAJANAGAR(SC),SUNIL BOSE,Chamarajanagar(DEPUTY COMMISSIONER CHAMARAJNAGAR_IDA),WS/MP18080/2025-2026/181863,,Construction of community centers and community halls,,,,,2025-09-12,,,,,225000.0,,,,Payment Success,KRIDL BHUSIRI ACCOUNT WORKS,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,54705,Uttar Pradesh,JHANSI,Anurag Sharma,JHANSI(DISTRICT MAGISTRAE JHANSI_IDA),WS/MP468/2024-2025/186250,,Purchase of mobile water tankers,,,,,2026-01-17,,,,,61600.0,,,,Payment Success,NATIONAL ENGINEERING WORKS,,,
Works Recommended,Works Recommended (1).xlsx,78703,Bihar,MADHEPURA,Dinesh Chandra Yadav,SAHARSA(DISTRICT PLANNING OFFICER SAHARSA_IDA),WS/MP558/2025-2026/271394,Normal/Others,Street lights,Kahra Prakhand antargat Bariyahi Ward No-11 Sarvjanik Bhawan Imambara ke nikat High Mast Light ka adhishthapan.,2026-02-27,2026-03-10,,,,697000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,45266,Himachal Pradesh,SHIMLA (SC),Suresh Kumar Kashyap,SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA),WS/MP598/2025-2026/215474,Normal/Others,Construction of community centers and community halls,"CONSTRUCTION OF   Community Mahila Mandal Bhawan , Vill Gaytri, Todsa GP Todsa BDO Chhauhar",2025-07-07,2025-07-24,,,,50000.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,77826,Jharkhand,PALAMU(SC),Vishnu Dayal Ram,PALAMU(DEPUTY COMMISSIONER PALAMAU_IDA),WS/MP437/2026-2027/293031,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",5. Construction of 300 feet PCC road from Pintu Paswan house to Prabal Paswan house in village Dangwar,2026-07-08,2026-07-20,,,,,449600.0,,,,,Sanction,,,,,
Works Recommended,Works Recommended (1).xlsx,33316,Tamil Nadu,MADURAI,S Venkatesan,MADURAI(DISTRICT COLLECTOR MADURAI_IDA),WS/MP751/2025-2026/195869,Normal/Others,Lighting of public spaces,"Providing High Mast Light in Ward No.22, Nerhu Nagar, Shanthi Vidyalaya, Madurai (2024-2025)",2025-05-02,2026-01-06,,,,299770.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,91030,Uttar Pradesh,BULANDSHAHR(SC),Bhola Singh,BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA),WS/MP814/2026-2027/291069,Normal/Others,Lighting of public spaces,budhe baba ki dauj sthan pr highmask light PCCD dwara lgwae,2026-07-01,2026-08-01,,,,281100.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,73403,Bihar,SUPAUL,Dileshwar Kamait,SUPAUL(DISTRICT PLANNING OFFICER SUPAUL_IDA),WS/MP422/2025-2026/199194,,Lighting of public spaces,,,,,2026-07-20,,,,,921000.0,,,,Payment Success,CHANDAN ENTERPRISES,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,32732,West Bengal,ARAMBAG(SC),BAG MITALI,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),WS/MP18245/2025-2026/199083,,Lighting of public spaces,,,,,2026-03-20,,,,,377057.0,,,,Payment Success,SN ENTERPRISE,,,
Works Recommended,Works Recommended (1).xlsx,49596,Telangana,ZAHIRABAD,SURESH KUMAR SHETKAR,SANGAREDDY(District Collector Sangareddy_IDA),WS/MP18194/2026-2027/223455,Normal/Others,Installing tube-wells and borewells,"Installation of Borewell near Ambedkar Bhavan in Pastapur village,Zaheerabad Mandal.",2025-07-30,2026-04-16,,,,200000.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,76078,Uttar Pradesh,KUSHI NAGAR,Vijay Kumar Dubey,Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA),WS/MP812/2025-2026/211000,,Lighting of public spaces,,,,,2026-06-22,,,,,60495.0,,,,Payment Success,MAHI ENTERPRISES,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,55556,Sikkim,SIKKIM,Indra Hang Subba,Pakyong(DISTRICT COLLECTOR PAKYONG_IDA),WS/MP013/2024-2025/137238,,Providing drains and gutters for public drainage,,,,,2024-11-27,,,,,643700.0,,,,Payment Success,OFFICE OF THE ASSISTANT ENGINEER BAC PAKYONG,,,
Works Sanctioned,Works Sanctioned.xlsx,35602,Punjab,BHATINDA,Smt Harsimrat Kaur Badal,BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA),WS/MP716/2025-2026/202167,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of Street and Drain (Street Mangatwali) (Village Maur Khurd),2025-05-21,2025-07-04,,,,,87500.0,,,,,Sanction,,,,,
Works Completed,Works Completed.xlsx,16123,West Bengal,SREERAMPUR,Kalyan Banerjee,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),WS/MP859/2024-2025/168919,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","CONSTRUCTION OF PCC ROAD WITH PAKKA DRAIN AT A.K. DUTTA SARANI, CHATRA (MACHA GOLI) WITHIN WARD NO 2 UNDER SERAMPORE MUNICIPALITY, HOOGHLY",,,2026-08-06,,,,,324438.0,,,,,,,,,Images
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,9715,Maharashtra,BHIWANDI,BALYA MAMA SURESH GOPINATH MHATRE,THANE(DISTRICT COLLECTOR THANE_IDA),WS/MP18116/2025-2026/186699,,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,2026-04-08,,,,,996428.0,,,,Payment Success,PANKAJ TULSHIRAM NAIK,,,
Works Sanctioned,Works Sanctioned.xlsx,52059,Gujarat,PATAN,Bharatsinhji Shankarji Dabhi,PATAN(DISTRICT COLLECTOR PATAN_IDA),WS/MP574/2025-2026/233041,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",ZANZANSAR GAME THAKOR RAMESHBHAINA GHAR THI SOMA RAMAJI NA GHAR TARAF PAVAR BLOCK,2025-09-11,2025-12-13,,,,,250000.0,,,,,Sanction,,,,,
Works Sanctioned,Works Sanctioned.xlsx,65765,Jharkhand,LOHARDAGA(ST),SUKHDEO BHAGAT,LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA),WS/MP18075/2026-2027/260479,Normal/Others,Purchase of books and periodicals for libraries/digitization of library books,buying books for the school,2026-01-20,2026-04-01,,,,,200000.0,,,,,Physical Inspection,,,,,
Works Completed,Works Completed.xlsx,25980,Gujarat,DAHOD(ST),Jaswantsinh Sumanbhai Bhabhor,Dahod(DISTRICT COLLECTOR DOHAD_IDA),WS/MP577/2025-2026/223011,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system",raliyati game urban hospital road thi shanti nagar sudhi c.c.road nu kam,,,2026-01-27,,,,,247538.0,,,,,,,,,Images
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,29243,Uttar Pradesh,FATEHPUR SIKRI,Rajkumar Chahar,AGRA(DISTRICT MAGISTRAE AGRA_IDA),WS/MP517/2025-2026/241634,,Lighting of public spaces,,,,,2026-01-19,,,,,1110169.0,,,,Payment Success,Krishna Infratech,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,10818,Karnataka,BANGALORE RURAL,DR C N MANJUNATH,Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA),WS/MP18076/2025-2026/217255,,Construction of bus-sheds or bus-stops,,,,,2026-03-23,,,,,375000.0,,,,Payment Success,PRAJWAL K,,,
Works Sanctioned,Works Sanctioned.xlsx,51635,Haryana,HISAR,JAI PARKASH,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),WS/MP18062/2025-2026/232151,Normal/Others,Construction of boundary walls of existing public and community buildings,completion of general chopal hall room etc and boundary wall,2025-10-13,2025-12-01,,,,,700000.0,,,,,Vendor Identification,,,,,
Works Recommended,Works Recommended (1).xlsx,33726,Madhya Pradesh,SATNA,Ganesh Singh,Maihar(District Collector Maihar_IDA),WS/MP642/2025-2026/196553,Normal/Others,Purchase of mobile water tankers,Gram panchayat me pani tankers hetu,2025-05-04,2025-11-08,,,,163424.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,87913,Uttar Pradesh,KHERI,UTKARSH VERMA MADHUR,KHERI(DISTRICT MAGISTRAE KHERI_IDA),WS/MP18226/2026-2027/286211,Normal/Others,Lighting of public spaces,vikas khand phoolbehad ke gram mudiya mistra alg-alg 3 sthalon par 6 ve semi highmast light ka adhishthapan karya,2026-06-18,2026-07-17,,,,473400.0,,,,,,,,,,,
Works Sanctioned,Works Sanctioned.xlsx,18925,Punjab,FIROZPUR,SHER SINGH GHUBAYA,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),WS/MP18153/2024-2025/170743,Normal/Others,Installing community drinking water plants,Installation of RO System,2025-01-30,2025-02-06,,,,,232532.0,,,,,Physical Inspection,,,,,
Works Recommended,Works Recommended (1).xlsx,105862,Gujarat,KHEDA,Devusinh Jesingbhai Chauhan,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),,Normal/Others,Purchase of books and periodicals for libraries/digitization of library books,Juni Amsaran prathmik shalani library mate pustako ni kharidi,2026-09-02,,,,,30000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,65131,Bihar,GOPALGANJ (SC),Alok Kumar Suman,GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA),WS/MP413/2025-2026/249806,Repair and Renovation,Construction of community centers and community halls,"Under the Member of Parliament Local Area Development Scheme, I recommend the allocation of up to four lakh rupees from my MP fund for the repair and painting of the community hall and for earthwork, brickwork, and PCC construction from the road to the community hall in the Scheduled Caste locality of Parsauni Khas village, Parsauni Khas Panchayat, Uchkagaon block, Gopalganj district.",2025-11-21,2025-12-24,,,,400000.0,,,,,,,,,,,
Works Recommended,Works Recommended (1).xlsx,51857,West Bengal,HOOGHLY,RACHNA BANERJEE,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),,Normal/Others,Construction of rooms and halls in school and colleges,"Constructions of smart class room at Komdhara Muthurkur High School, Between 500 - 700 sq ft. Including all modification instruments facilities.",2025-08-14,,,,,1612260.0,,,,,,,,,,,
Expenditure on Completed & On-going Works,Expenditure on Completed and On-going Works as on Date.xlsx,82490,Andhra Pradesh,KURNOOL,BASTIPATI NAGARAJU PANCHALINGALA,KURNOOL(DISTRICT COLLECTOR KURNOOL_IDA),WS/MP18011/2025-2026/210243,,Installing tube-wells and borewells,,,,,2025-07-20,,,,,199998.0,,,,Payment Success,UMA MAHESWARA TUBE WELLS KURNOOL,,,
